iter	Passed	Remaining
0	59	59517
1	59	29850
2	60	19956
3	60	15004
4	60	12030
5	60	10050
6	60	8637
7	61	7575
8	61	6749
9	61	6089
10	61	5551
11	61	5101
12	62	4721
13	62	4395
14	62	4112
15	62	3864
16	63	3647
17	63	3453
18	63	3280
19	63	3123
20	63	2982
21	64	2853
22	64	2735
23	64	2627
24	64	2528
25	65	2436
26	65	2351
27	65	2274
28	65	2200
29	65	2131
30	66	2066
31	66	2006
32	66	1949
33	66	1895
34	66	1845
35	67	1797
36	67	1752
37	67	1710
38	67	1669
39	67	1631
40	68	1594
41	68	1559
42	68	1526
43	68	1494
44	68	1464
45	69	1434
46	69	1407
47	69	1380
48	69	1356
49	70	1332
50	70	1308
51	70	1285
52	70	1263
53	70	1242
54	71	1222
55	71	1203
56	71	1184
57	71	1165
58	71	1147
59	72	1130
60	72	1114
61	72	1098
62	72	1083
63	73	1069
64	73	1054
65	73	1040
66	73	1026
67	73	1013
68	74	1000
69	74	987
70	74	975
71	74	962
72	74	951
73	75	939
74	75	928
75	75	918
76	75	907
77	75	897
78	76	887
79	76	877
80	76	868
81	76	858
82	76	848
83	76	839
84	77	830
85	77	822
86	77	814
87	77	806
88	77	798
89	78	790
90	78	782
91	78	775
92	78	767
93	78	760
94	79	753
95	79	747
96	79	740
97	79	733
98	79	727
99	80	721
100	80	714
101	80	708
102	80	702
103	80	697
104	81	691
105	81	686
106	81	680
107	81	675
108	81	670
109	82	664
110	82	659
111	82	654
112	82	649
113	82	644
114	83	639
115	83	635
116	83	630
117	83	625
118	83	621
119	84	616
120	84	612
121	84	607
122	84	603
123	84	599
124	85	595
125	85	591
126	85	586
127	85	582
128	85	579
129	85	575
130	86	571
131	86	568
132	86	564
133	86	560
134	86	557
135	87	553
136	87	550
137	87	547
138	87	543
139	87	540
140	88	537
141	88	533
142	88	530
143	89	531
144	89	528
145	89	525
146	89	522
147	90	518
148	90	517
149	90	515
150	91	513
151	91	510
152	91	507
153	91	504
154	92	501
155	92	499
156	92	496
157	92	493
158	92	491
159	93	488
160	93	485
161	93	483
162	93	480
163	93	478
164	94	475
165	94	473
166	94	470
167	94	468
168	94	466
169	94	463
170	95	461
171	95	459
172	95	456
173	95	454
174	96	452
175	96	450
176	96	448
177	96	446
178	96	444
179	97	441
180	97	439
181	97	437
182	97	435
183	97	433
184	97	431
185	98	429
186	98	427
187	98	425
188	98	424
189	99	422
190	99	420
191	99	418
192	99	416
193	99	415
194	100	413
195	100	411
196	100	409
197	100	407
198	100	406
199	101	404
200	101	402
201	101	401
202	101	400
203	102	398
204	102	397
205	102	395
206	102	394
207	103	392
208	103	390
209	103	389
210	103	387
211	103	386
212	104	384
213	104	383
214	104	381
215	104	380
216	105	378
217	105	377
218	105	376
219	105	374
220	105	373
221	106	371
222	106	370
223	106	368
224	106	367
225	106	365
226	107	364
227	107	363
228	107	361
229	107	360
230	107	358
231	108	357
232	108	356
233	108	354
234	108	353
235	108	352
236	109	350
237	109	349
238	109	348
239	109	347
240	109	345
241	109	344
242	110	343
243	110	342
244	110	340
245	110	339
246	111	338
247	111	337
248	111	335
249	111	334
250	111	333
251	111	332
252	112	331
253	112	330
254	112	328
255	112	327
256	112	326
257	113	325
258	113	324
259	113	323
260	113	321
261	113	320
262	114	319
263	114	318
264	114	317
265	114	316
266	114	315
267	115	314
268	115	313
269	115	312
270	115	311
271	115	310
272	116	309
273	116	307
274	116	306
275	116	305
276	116	304
277	117	303
278	117	302
279	117	301
280	117	300
281	117	299
282	118	298
283	118	298
284	118	297
285	118	296
286	118	295
287	118	294
288	119	293
289	119	292
290	119	291
291	119	290
292	120	289
293	120	288
294	120	288
295	120	287
296	120	286
297	121	285
298	121	284
299	121	283
300	121	282
301	121	281
302	122	280
303	122	279
304	122	279
305	122	278
306	122	277
307	123	276
308	123	275
309	123	274
310	123	274
311	123	273
312	124	272
313	124	271
314	124	270
315	124	270
316	125	269
317	125	268
318	125	267
319	125	266
320	125	266
321	126	265
322	126	264
323	126	263
324	126	262
325	126	262
326	126	261
327	127	260
328	127	259
329	127	259
330	127	258
331	128	257
